,기사제목,기사내용,신문사
49,대통령실 ‘전동킥보드 면허인증’ ‘국립공원 반려견 동반 입장’ 등 추진,"





대통령실 강승규 시민사회수석이 29일 서울 용산 대통령실 청사에서 '국민제안' 운용체제 개편 등 관련 브리핑을 하고 있다. /연합뉴스										대통령실은 지난 9월부터 ‘국민제안’으로 접수된 2만여 건 중 17건을 최종 선정해 정책화를 추진한다고 29일 밝혔다.강승규 시민사회수석은 이날 브리핑에서 “최종적으로 정책화가 가능한 안건 17건을 채택해 내년 1년 동안 이를 빠른 시일 내에 정책화하는 방안을 추진하기로 했다”고 밝혔다.17건에는 ‘전동킥보드 면허인증’ ‘국립공원 반려동물 동반 입장’ 등이 포함됐다.강 수석은 “전동 킥보드 관련 면허인증, 보험 가입 등 안전조치가 조속히 제도화될 수 있도록 입법 노력을 가속화하겠다”고 했다. 또 “자동변속기 차량 증가 등 여건 변화를 감안해 제1종 보통 자동변속기 면허 신설 등 자동차 면허체계 개편 방안을 마련하겠다”고 했다.일부 국립공원부터 반려동물 동반 입장 시범사업을 실시하기로 했다. 현재는 국립공원 출입 시 공원 생태계에 영향을 미칠 수 있는 개(장애인 보조견 제외), 고양이 등 동물을 데리고 입장하는 행위는 금지된다. 이에 국립공원 내 생태계 영향이 적은 일부 구간을 선정해 동반 입장 시범사업을 실시하는 것이다.소상공인･자영업자 등의 자동차 옥외광고 규제도 개선하기로 했다. 현재 자동차 광고는 옆면(창문 제외 면적의 1/2 이내)만 활용 가능하고 본인 관련 사항만 광고할 수 있다. 이를 개선해 자동차의 광고면을 앞･뒷면으로 확대 활용하는 방안 등을 추진키로 했다.한편, 국민제안 운용체계도 개편됐다. 홈페이지에 국민제안보고서와 고충민원 해결사례 등을 공개하고, 국민참여 토론 코너도 신설했다.

",조선일보
50,전주혜·윤창현·노용호 與당협위원장 임명…非尹 “친윤의 마녀사냥”,"

서울 동대문을 친윤 김경진 임명, 친이준석계 허은아 고배‘李측근’ 김철근 강서병은 김진선 前부구청장 직대로 교체비윤계 “친윤 아니면 다 나가란 거냐”조강특위 “이준석계 솎아내기? 말도 안 돼”



국민의힘 정진석(가운데) 비상대책위원장과 주호영 원내대표, 김석기 사무총장 등이 26일 국회에서 열린 비상대책위원회의에 참석하기 위해 이동하는 모습. /뉴스1										국민의힘 초선 비례대표인 전주혜·윤창현·노용호 의원이 29일 각각 서울 강동갑, 대전 동구, 춘천·철원·화천·양구갑 당협위원장에 임명됐다. 세 의원 모두 친윤계로 분류된다.친윤계인 김경진 전 의원은 친이준석계로 꼽히는 허은아 의원(비례)을 제치고 서울 동대문을 당협위원장이 됐다. 이준석 전 대표 측근인 김철근 전 당대표 정무실장이 맡았던 서울 강서병 당협위원장은 김진선 전 강서구 부구청장 직무대행으로 교체됐다. 이에 대해 비윤계는 “친윤이 아니면 다 나가라는 거냐”며 반발했다.국민의힘 조직강화특별위원회(조강특위)는 이날 서울 7명, 인천 4명, 광주 2명, 대전 2명, 세종 1명, 경기 15명, 강원 1명, 충북 1명, 충남 2명, 전북 4명, 전남 2명, 경남 1명 등 총 42명의 당협위원장을 선임했다면서 이들 명단을 공개했다.당협위원장은 전국 국회의원 지역구 253곳에 있는 당원협의회의 대표로, 통상 해당 지역구 국회의원이 겸직한다. 현역 의원이 없는 지역은 차기 총선에 출마하려는 사람이 맡는다.윤석열 대통령의 당선인 시절 특별고문을 지낸 유종필 전 국회도서관장은 서울 관악갑, ‘윤석열 캠프’ 정무특보 출신인 이학재 전 의원은 인천 서구갑에 임명됐다. 재선의 정운천 의원(비례)은 전북 전주을, 김종혁 비대위원은 경기 고양병을 맡게 됐다.조강특위가 이번에 공석으로 둔 사고 당협 26곳 가운데는 서울 마포갑이 포함됐다. 마포갑은 강승규 대통령실 시민사회수석이 2008년 18대 총선에서 당선된 지역구다.비윤계는 이날 조강특위 결정에 반발했다. 김웅 의원은 페이스북에서 허은아 의원의 탈락과 공석으로 둔 마포갑을 언급하며 “결국 어떤 핑계를 대더라도 이번 결정이 친윤의 마녀사냥이라는 것을 알려주는 반증”이라고 했다.허은아 의원은 라디오에서 “친윤이고 검사 출신이면, 노력하지 않아도 되고 이러 저리 당협 쇼핑도 할 수 있는, 당의 현실이 부럽기보다는 부끄럽다”며 “두드릴수록 단단해지는 강철처럼, 밟힐수록 영글어지는 보리밭처럼, 저는 절대 꺾이는 일은 없다. 그럴 것이라면, 시작도 안 했다”고 했다.조강특위 위원장인 김석기 사무총장은 이날 기자들과 만나 ‘허은아 의원이 이준석계로 분류돼 탈락한 것 아니냐’는 질문에 “말이 안 된다”고 반박했다. 김 총장은 “분명히 말씀드리지만 (기준은) 경쟁력”이라며 “다음 총선에서 경쟁력이 누가 더 상대적으로 강한가이다”라고 했다.

",조선일보
51,"“北무인기, 김정남 암살한 독극물 탑재땐 1억 5000만명 살상 가능”","

日전문가 주장



북2017년 6월9일 강원도 인제군 야산에서 발견된 북한 소형 무인기/뉴스1										북한이 구형 전투기를 개조한 자폭형 무인기에 생화학무기 등을 탑재해 공격한다면 큰 위협이 될 수 있다는 전문가 지적이 나왔다. 김정남을 암살할 때 북한이 쓴 VX를 무인기에 탑재해 공격할 경우 한반도 인구의 3배인 1억 5000만명을 살상할 수 있다는 우려도 나왔다.앞서 지난 26일 북한 무인기 5대가 오전 오후에 걸쳐 군사분계선(MDL)을 잇달아 넘어 우리 영공을 침범한 바 있다.한반도 전문가인 마키노 요시히로 일본 히로시마대 객원교수 겸 아사히신문 외교전문기자는 28일(현지시각) 미국 자유아시아방송(RFA) 인터뷰에서 북한 무인기가 정찰용이 아닌 공격형 무인기일 경우에도 움직이는 목표물은 공격할 수 없고, 소형 무인기이기 때문에 탑재할 수 있는 폭탄이 그다지 크지는 않다면서도 북한은 생화학무기를 보유하고 있다고 했다.그는 “2017년 2월 김정남씨를 암살할 때 북한이 쓴 VX 치사량이 1mg 즉, 0.001g밖에 안 된다”며 “단순한 계산이지만 혹시 북한이 무인기에 VX를 150㎏ 정도 탑재해 공격했다면 한국 인구의 3배 정도인 1억5000만명 정도를 죽일 수 있다. 그 정도로 위험한 상황이었다고 생각한다”고 우려했다.우리 군은 북한이 생물무기로는 탄저균이나 천연두, 콜레라 등을, 화학무기는 VX나 사린 등 최대 5000 정도 보유하고 있다고 밝힌 바 있다.

",조선일보
52,"尹, 국방과학硏 방문...“평화 위해 압도적으로 우월한 전쟁 준비해야”","

국방과학연구소 방문“北 도발에 혹독한 대가 깨닫게 해야””상대에 核 있어도 두려워하거나 주저해선 안돼”



[서울=뉴시스] 윤석열 대통령이 29일 대전 유성구 국방과학연구소를 방문해 최근 북한의 무인기 위협에 대한 우리 군의 감시·정찰 요격시스템을 포함한 국내 무기체계 개발 현황 전반을 점검하고 있다. (사진=대통령실 제공) 2022.12.29. photo@newsis.com *재판매 및 DB 금지										윤석열 대통령은 29일 오전 대전 유성에 있는 국방과학연구소를 방문해 최근 북한의 무인기 위협에 대한 우리 군의 감시·정찰·요격 시스템 등 국내 무기체계 개발 현황을 점검했다.윤 대통령은 이 자리에서 “북한 무인기의 영공 침범은 도저히 용납할 수 없는 사건”이라며 “도발에는 반드시 혹독한 대가가 따른다는 사실을 깨닫게 해야 한다”고 했다고 대통령실 이재명 부대변인이 전했다. 윤 대통령은 이어 “우리의 자유를 침범하는 행위에 대해서는 확고한 응징과 보복만이 도발을 억제할 수 있다”며 “상대에게 핵이 있든, 어떠한 대량살상무기가 있든 도발을 일삼는 사람들에게 분명한 메시지를 줘야 하고, 두려워하거나 주저해서는 절대 안 된다”고 했다.윤 대통령은 “북한의 무인기뿐 아니라 우리 영공을 침범하는 모든 비행 물체에 대한 전반적인 대응 체계를 재검토해서 미비점을 신속하게 보완해야 한다”며 “비대칭 전력을 강화시키려고 하는 북한에 대응해서 우리 군의 전력 증강 계획도 전반적으로 재검토할 필요가 있다”고 했다. 또 윤 대통령은 “우리 군은 적에게 범접할 수 없는 두려움을, 국민에게 확고한 믿음을 주는 강군이 되어야 한다”며 “우리가 평화를 얻기 위해서는 압도적으로 우월한 전쟁 준비를 해야 한다. 위장된 평화로는 안보를 지킬 수 없을 뿐 아니라 그 기반마저 무너진다는 것을 확실하게 깨달아야 한다”고 했다.

",조선일보
53,野 “1월 임시국회 소집 불가피”…與 “이재명 방탄국회 열겠다는 것”,"





이재명 더불어민주당 대표와 박찬대 최고위원이 지난 23일 오후 서울 여의도 국회에서 열린 본회의에서 대화하고 있다./뉴시스										더불어민주당에서 1월 임시국회 소집이 필요하다는 주장이 29일 나왔다. 12월 임시국회 회기가 1월 9일로 종료되는데 그 직후 임시국회를 다시 소집해야 한다는 것이다. 올해 말 ‘일몰’되는 법안들을 논의해야 한다는 명분을 앞세웠지만, 국민의힘에서는 “검찰 소환 조사를 앞둔 이재명 대표를 위한 방탄국회를 열겠다는 것”이라고 비판했다.민주당의 대표적 친명(親明·친이재명)계 의원인 박찬대 최고위원은 29일 라디오에서 1월 임시국회 소집과 관련해 “논의된 바는 별로 없다”면서도 “일몰법 관련된 부분도 그렇고, 그 다음에 (이태원 참사) 국정조사도 진행되고 있지 않느냐, 국정조사도 1월 7일자로 끝나는데 연장은 불가피하다 보니까 1월 임시국회가 다시 소집되어야 되지 않겠느냐”고 말했다. 박 최고위원은 “(임시국회 소집이) 불가피한 부분이 있다”고도 했다.국회 안팎에선 민주당이 1월 임시국회 소집을 기정사실화 하는 데 대해 “이 대표에 대한 구속영장 청구에 대비하는 것”이라는 의견이 많다. 국회의원은 헌법상 회기 중엔 국회의 동의 없이 체포 또는 구금되지 않는다. 검찰이 구속영장을 청구해도 국회에서 체포동의안이 통과돼야 한다. 지난 28일 체포동의안이 부결된 노웅래 의원처럼, 국회 회기 중이라면 이 대표에 대한 구속영장이 청구돼도 민주당이 부결시키면 그만이다.이 때문에 국민의힘은 노 의원에 대한 체포동의안이 부결되자 “이 대표에 대한 체포동의안 표결에 대비한 것”이라고 비판했다. 주호영 원내대표는 28일 본회의 직후 “21대 국회 들어와서 체포동의안이 모두 가결됐는데 이번에 부결된 것은 민주당이 똘똘 뭉쳐서 반대한 것 같다”며 “민주당이 이 대표에 대해 있을지 모르는 체포동의안에 대해 예행연습을 한 것”이라고 했다.

",조선일보
54,"정진석 “中당국, 비밀경찰서 사실관계 납득할 수 있게 설명해야”","

										국민의힘 정진석 비상대책위원장은 29일 한국 내 중국의 비밀경찰서 운영 의혹과 관련해 “중국 당국이 사실관계를 성의 있게 확인해서 우리 국민이 납득할 수 있도록 소상히 설명해줄 것을 요청한다”고 했다.



정진석 국민의힘 비상대책위원장이 29일 서울 여의도 국회에서 열린 비상대책위원회의에서 발언하고 있다. /뉴스1										정 위원장은 이날 국회에서 열린 비대위 회의에서 “외국 정부 기관이 대한민국에서 활동하려면 우리 법령과 국제규범을 준수해야 한다”며 이렇게 말했다.스페인에 본부를 둔 국제인권단체 ‘세이프가드 디펜더스’는 지난달 중국이 한국을 포함한 53국에서 102개 이상의 비밀 경찰서를 운영하고 있다고 폭로했었다. 정 위원장은 “‘세이프가드 디펜더스’가 보고서에서 나열하는 중국단체의 반체체 인사 감시와 탄압활동은 국내법에 저촉된다”며 “만일 그런 의혹이 사실이라면 당연히 사과와 재발방지책 마련이 있어야한다”고 했다. 그러면서 “올해는 한중수교 30주년이 되는해”라며 “중국은 우리나라 제1교역국이고 한반도 평화 구축을 위한 파트너다. 2023년 새해에는 한중양국 신뢰관계가 더 굳건히 서길 기대한다”고 했다.정 위원장은 이날 더불어민주당 이재명 대표의 전날 광주 발언도 비판했다. 정 위원장은 이 대표가 전날 ‘많은 사람들의 피와 목숨으로 만들어진 민주주의가 무너지고 있다’고 한데 대해 “광주 궤변”이라고 했다. 그러면서 “이 의원이 민주화 투쟁 하다가 검찰에 소환됐나. 아니면 절대 권력에 맞서다 탄압을 받고 있나”라고 했다. 이어 “이재명 사법리스크의 본질은 권력형 범죄”라며 “민주당은 1년 내내 국회를 열어두고 이재명 체포동의안이 국회로 넘어올 때마다 부결시키겠다는 계산”이라고 했다.

",조선일보
55,주호영 “‘무인기 도발’ 北 규탄 ‘공동결의안’ 통해 강력 경고 보내야”,"





주호영 국민의힘 원내대표가 28일 오후 서울 여의도 국회 예결위회의장에서 열린 의원총회에서 발언하고 있다./뉴스1										주호영 국민의힘 원내대표는 29일 북한의 무인기 도발과 관련해 국회 차원의 공동 결의안을 채택해 북한 당국에 강력한 경고를 보내야 한다고 밝혔다.주 원내대표는 29일 오전 국회에서 열린 당 원내대책회의에서 “조속한 공동결의안 채택을 통해 북한 당국에 강력 경고를 보내는 한편 우리 국민의 일치된 단결력을 보여줬으면 한다”며 이 같이 말했다.주 원내대표는 “지난 26일 북한의 무인기 도발은 명백한 정전협정 위반과 9·19군사합의 위반”이라며 “평양공동선언의 부속합의서인 9·19군사합의는 체결 때부터 대한민국에만 불리한 독소 조항으로 가득한 굴욕적 합의라는 비판이 많았다”고 지적했다.그는 “그마저도 북한은 핵과 미사일을 거듭 개발하며 군사합의를 위반해왔고, 군사합의 정신 자체도 지속적으로 위반해왔다”며 “문재인 정권은 이러한 합의 위반에도 불구하고 제대로 된 항의한 적 한 번도 없고 오히려 북을 두둔하고 변호하기 급급했다”고 꼬집었다.이어 “북한은 특히 윤석열 정부 출범 이래 도발을 강화해 10월 13일 560여발 포탄 발사, 11월 2일 동해상 단거리 탄도미사일 발사 등 9·19군사합의 자체를 완전히 무시하는 태도를 보이고 있다”며 “이번 기회에 우리 국회도 북한에 대해 분명한 메시지를 보내야 한다. 북한의 무인기 도발을 규탄하는 국회 차원의 공동결의안을 즉시 채택할 것을 민주당을 포함한 야당에 제안한다”고 말했다.그러면서 “마침 이재명 대표도 어제 광주 최고위 회의의 모두발언에서 북한의 9·19군사합의 위반에 대해 강력히 규탄하고 엄중 경고한다고 한 만큼 국회 차원 결의안 채택엔 아무 문제가 없다”고 했다.

",조선일보
56,유승민 “이준석과 연락 안한다...‘연대하자’고 할 일 없어”,"

“내가 尹에게 앙금이 남아 있다고? 사감 없다”							유승민 전 의원이 국민의힘 당대표 선거 출마 여부에 대해 “지금 정해진 것 없다”며 충분한 시간을 두고 고민해 결정하겠다고 밝혔다. 이준석 전 국민의힘 대표와는 “연락 안 하고 지낸다”고 했다. 이 전 대표와의 연대 가능성에 대해선 “제가 이 전 대표에게 도와달라 말라, 연대하자 이런 이야기 할 일 없다”고 딱 잘라 말했다.



유승민 전 국민의힘 의원. /뉴스1 										유 전 의원은 29일 CBS라디오 ‘김현정의 뉴스쇼’에 출연해 올 한해를 어떻게 보냈냐는 질문에 “저는 올해 일들이 많았다. 백수가 영혼이 자유롭지 않냐. 자유로운 영혼으로 살고 있었고, 4월에 제 정치에서 새로운 길을 찾겠다고 했는데, 새 길을 찾고 있는 시간이었다”고 말했다.지난 지방선거 경선에서 패배한 유 전 의원을 두고 일각에서는 “정치를 그만두는 거 아니냐”는 말이 나왔다. 유 전 의원 역시 “저도 그런 생각을 했다. 사람이라면 여기서 내가 그만둬야 하나. 정치를 언젠가는 그만두지 않겠나. 그런데 저에게 주어지는 어떤 역할, 책임 이런 게 있으면 계속하는 게 정치인의 도리다”라고 말했다. 유승민 “당 대표 출마? 정해진 건 없어”							내년 당대표 선거 출마 여부에 대해선 “정해진 것 없다”며 “백지 상태다”라고 했다. 유 전 의원은 “충분한 시간을 두고 출마 여부를 고민하고 결정할 것”이라고 했다. ‘유승민이 결국 불출마할 것’이라고 말하는 국민의힘 의원들을 향해선 “윤핵관들의 희망사항이다. 윤핵관들이 뭐라고. 제가 정말 조금도 신경 안 쓴다”라고 말했다.유 전 의원은 “제가 23년 정치를 하면서 어떤 권력의 폭력 이런 거 많이 당해봤다. 이번에도 당원 투표를 대통령께서 당원 투표 100%가 낫지 않냐 이 말을 해서 며칠 만에 전광석화같이 그걸 통과시키지 않았나. 이건 진짜 권력의 폭주”라며 윤석열 대통령을 비판했다. 그러면서 “여기에 대해 아무도 잘못이라고 지적하지 않고, 제가 유일하게 목소리를 내는데, 보면 권력을 잡으면 다들 너무 이렇게 급발진 하는 거 같다”고 했다.유 전 의원은 현재 국민의힘에 대해 “사람에게 충성하지 않는다는 사람에게 충성하는 사람들의 모임 같다”며 “대통령 1인 독재 사당이 되고 있다”고 비판했다. ‘사람에게 충성하지 않는다’는 말은 9년 전 국정감사에서 당시 검사였던 윤 대통령이 한 말이다.이어 “갈수록 꼴보수 정당이 되고 있다. 저한테는 이렇게 퇴행하는 이 당을 제가 멈추고 변화와 혁신을 과연 할 수 있겠느냐. 오로지 그 점이 중요할 뿐. 제가 결심하면 바로 출마선언할 것”이라고 했다. 유승민 “이준석에게 ‘연대하자’고 할 일 없어”							이준석 전 국민의힘 대표와의 연대 가능성에 대해선 “저는 이 전 대표라는 정치인이 어떤 판단을 하든 존중하는 그런 관계지, 제가 이 전 대표에게 도와달라 말라 연대하자 이런 이야기 할 일이 없다. 그건 이 전 대표가 알아서 할 일”이라고 했다.지난주에 이 전 대표가 기자들에게 단호한 말투로 유 전 의원을 안 돕는다고 말한 것에 대해 서운하지 않냐는 말에 유 전 의원은 “서운하지 않다. 이 전 대표가 무슨 말을 해도 존중한다”고 했다. 이 전 대표와의 관계를 묻자 유 전 의원은 “별로 연락 안 하고 지낸다”고 답했다.유 전 의원은 마지막으로 “인간 대 인간으로 유승민에게 윤석열이란”이라는 질문을 받았다.그는 “윤 대통령을 개인적으로 잘 모른다. 과거 검사 시절에 몇 번 만났던 적은 있지만 정치인이 되고 난 다음부터는 전혀 교류가 없었고 경선 때 워낙 치열하게 경선을 했으니까 그때 앙금이나 이런 게 좀 남아 있는 거 아닌가, 그분한테. 저는 그런데 사감이 전혀 없다”고 했다.이어 “저에게 윤석열이라는 사람은 대한민국 대통령이다. 너무나 무거운 자리에 계시는 거고 중요한 자리에 계신다. 저는 이태원 참사든 펠로시 패싱이든 엊그제 북한 무인기든 경제 정책이든 무슨 개혁 정책이든 저는 윤 대통령이 잘하면 저는 적극 평가하고 지지하고 윤 대통령이 잘못하면 저는 누구보다도 정확하게 그 잘못을 지적할 것”이라고 했다.

",조선일보
57,"캐나다 “韓 인·태 전략 발표 축하… 자유, 평화, 번영 위한 야심찬 비전”","





윤석열 대통령과 쥐스탱 트뤼도 캐나다 총리가 9월 23일 오후(현지 시각) 캐나다 오타와 맥도날드경 빌딩에서 공동기자회견을 마친 후 악수하고 있다. /뉴스1										윤석열 정부가 공개한 인도·태평양 전략에 대해 캐나다 외교부가 28일(현지 시각) 환영한다는 입장을 밝혔다. 외교 당국이 우리 정부의 인·태 전략에 대해 공식 입장을 밝힌 것은 전날 미 백악관에 이어 두번째다. 캐나다는 이번 문서에서 ‘가치를 공유하는 포괄적 전략 동반자’로 언급해 향후 협력 확대에 대한 기대감이 커지고 있다.멜라니 졸리(Mélanie Joly) 캐나다 외교부 장관은 이날 “한국이 인·태 전략을 발표한 것에 대해 축하한다”며 “자유, 평화, 번영을 위한 야심찬 비전”이라고 평가했다. 그는 “우리의 접근은 잘 정렬(aligned)돼 있고 상호 보완적(complementary)”이라며 “양국이 공통된 우선순위를 향해 나아갈 것”이라고 했다. 캐나다 외교부는 내년도 양국이 수교 60주년을 앞두고 있는 것을 언급하며 “경제 안보, 혁신, 공급망, 핵심 광물 등 다양한 이슈에서 지속적으로 협력할 수 있기를 바란다”고 했다.캐나다는 국제 사회에서 한국의 대표적인 ‘유사 입장국(like-minded state)’ 중 하나다. 북한 핵·미사일 문제는 물론 유엔이 결의한 여러 대북 제재 조치들도 가장 모범적으로 수행하고 있는 국가이기도 하다. 러시아의 우크라이나 침공을 규탄하는 등 최일선에서 자유, 민주 가치 등을 설파하고 있어 ‘글로벌 중추 국가(Global Pivotal State)’를 표방하는 윤석열 정부와도 궁합이 맞는다. 양국은 올해 9월 윤석열 대통령이 캐나다를 방문해 쥐스탱 트뤼도 총리와 정상회담을 가졌고, 10월에는 박진 외교부 장관과 멜라니 졸리 외교 장관 간 회담을 통해 ‘포괄적 전략 동반자 관계’로서의 협력 의지를 다졌다.특히 이번 보고서에서는 외교부가 기존의 ‘동북아(Northeast Asia)’라는 표현 대신 ‘북태평양(Northern Pacific)’이란 단어를 사용해 캐나다, 몽골까지 협력 범주에 포함시켜 양국 관계가 한층 더 업그레이드 될 것이란 기대감이 커지고 있다. 보고서를 보면 캐나다를 ‘가치를 공유하는 포괄적 전략 동반자’라 표현하며 “사안별로 공조하고 협력하며 인·태 지역과 글로벌 문제 해결에 기여해 나가고자 한다”고 했다. 이 밖에 첨단과학기술 분야 협력 확대도 명시됐다.



박진 외교부 장관과 멜라니 졸리 캐나다 외무장관이 올해 10월 14일 오전 서울 종로구 외교부에서 열린 한-캐나다 외교장관회담에 앞서 악수를 하고 있다. /뉴시스										양국은 이같은 분위기를 이어가기 위해 이미 2024~2025년을 ‘한-캐나다 상호 문화 교류의 해’로 지정한 상태다. 주한 캐나다 대사관은 최근 수교 60주년 명예대사로 2010 밴쿠버 동계올림픽에서 금메달을 수상한 피겨스케이팅의 전설 김연아씨를 명예 대사로 위촉했다. 또 홍보 대사로 인기 시트콤 ‘김씨네 편의점’에서 주인공을 연기한 한국계 캐나다 배우 윤진희씨를 위촉하며 분위기를 만들어나가고 있다.

",조선일보
58,반기문 “증오와 적대감은 민주주의 가장 해로운 적”,"





지난 14일 서울 서대문구 스위스그랜드 호텔에서 열린 '북한인권 국제대화'에서 반기문 전 유엔 사무총장이 축사를 하고 있다./연합뉴스										반기문 전 유엔 사무총장은 29일 “증오와 적대감은 민주주의 가장 해로운 적”이라며 국민화합과 사회통합을 시급한 과제로 제시했다.반 전 총장은 이날 발표한 2023년 신년메시지에서 “지난 수년 간 골이 깊을 대로 깊어진 정파적 극단주의로 인해 우리 사회를 짓누르고 있는 분열, 불신과 적대감의 장막을 걷어내야 한다”며 이 같이 밝혔다.그는 “많은 국민이 너무 지쳐 있다”며 “정치인부터 나서서 부드러운 감성을 가지고 증오와 멸시를 솎아내고, 안보와 경제를 비롯한 국익을 먼저 생각하면서 대승적 리더십을 보여주기를 호소한다”고 했다.반 전 총장은 “계묘년 새해는 대한민국이 글로벌 중추국가로 힘차게 나아가는 한 해가 될 것”이라며 “지난해 출범한 정부가 새로 구축한 국정의 기틀을 국민과 함께 공유하면서 본격적으로 일하는 원년”이라고 했다.이태원 참사와 관련해 “희생된 영령들의 명복을 빌면서, 새해에는 유가족들이 슬픔을 딛고 의연하게 일상에 전념하실 수 있기를 간절히 기원한다”고 했다.러시아의 우크라이나 침공에 대해 “참혹한 살상과 파괴에 종지부를 찍고, 포성 대신 재건과 평화의 함성이 울려 퍼지기를 소망한다”고 말했다. 이란 정권을 겨냥해 “인류 보편의 가치이며 인간으로서 마땅히 향유해야 할 인권을 여성이라는 이유로 억압하고 있는 反인권국가의 폭력은 우리 지구촌에서 단호하게 추방시켜야 한다”고 했다.북한에 대해 “핵과 미사일로 한반도와 세계평화를 위협하고 북녘 동포들의 인권을 억압하는 북한 정권은, 그같은 도발이 지속가능하지 못 하다는 것을 한시라도 빨리 깨닫고, 대화와 개방의 세계로 나와야 한다”고 지적했다. 그는 이 같은 일들이 “협력과 연대의 다자주의, 그리고 관용과 배려·이해와 공감의 세계시민정신(Global citizenship)에 터잡아 불꽃같이 일어나기를 진심으로 바란다”고 했다.그는 “동북아 전체에 군비 확장이라는 어두운 그림자가 엄습하고 있다”며 “강력한 한미동맹을 기반으로 자강의 힘을 키우면서, 모든 도발에 빈틈없이 대비해야 한다”고 지적했다. 이어 북한의 도발에 대해 “온 국민이 굳게 결속하여 총력 대응한다는 의지를 보여주어야 한다”며 “도발에는 반드시 더 큰 대가가 따른다는 것을 깨닫게 해야 한다”고 말했다.21세기 최우선의 지구적 핵심 과제로 기후위기 대응을 강조했다. 그는 “기후위기 대응은 이제 더 이상 선택이 아닌 필수과제가 되었다”며 “정부와 산업계, 국민이 손잡고 범 지구적 도전을 대한민국 도약의 또 하나의 기회로 역전시켜야 한다”고 했다.특히 청년들에 큰 기대를 갖고 있다고 밝힌 반 전 총장은 “대한민국 청년들은 세계에서 가장 역동적이고 창의적이라고 이미 평가가 내려졌다”며 “대한민국의 앞날이 세계 어느 나라보다 밝다는 뜻”이라고 말했다.

",조선일보
59,"尹, 각계 인사에 신년 연하장... “국민 삶에 온기 스며들게 노력”","





윤석열 대통령의 신년 연하장./대통령실 										윤석열 대통령은 취임 후 첫 새해를 맞아 각계 원로 및 주요 인사, 국가유공자와 유가족 및 사회적 배려계층, 외국 정상 및 외국 주요 인사, 재외동포 등에게 신년 연하장 카드를 발송했다고 대통령실이 29일 밝혔다.윤 대통령은 연하장에서 “우리는 어렵고 힘든 일들을 이겨내며 더 나은 미래를 만들어 가고 있습니다. 위대한 국민 여러분과 함께 새로운 도약을 이루겠다”라며 “따스한 온기가 국민의 삶에 스며들도록 더욱 노력하겠다. 희망찬 2023년이 되길 기원한다”며 신년 인사를 전했다.대통령실은 “2023년 윤 대통령의 연하장은 ‘K-콘텐츠의 매력을 전 세계로 확산한다’는 국정과제를 반영하여 다양한 한국의 문화, 전통, 유․무형문화재 등을 디자인화했다”고 했다. BTS, 오징어게임 등으로 인기를 끈 K-팝, K-드라마, K-영화, K-푸드, K-뷰티 등 다양한 한국의 문화를 표현하고, 세계문화유산 수원화성, 2022년 인류무형문화유산으로 등재된 탈춤 등을 디자인에 담았고 했다.

",조선일보
60,"尹, 오늘 국방과학연구소 방문... “응징·보복만이 北도발 억제”","





윤석열 대통령이 지난 27일 용산 대통령실 청사에서 열린 국무회의를 주재하고 있다./뉴스1 										윤석열 대통령이 29일 대전 유성에 있는 국방과학연구소(ADD)를 방문해 우리 군의 감시·정찰 요격시스템 등 무기 개발 현황을 점검한다. 최근 북한의 무인기 한국 영공 침범에 대응한 조치다.윤 대통령은 이날 ADD 방문을 통해 북한의 도발에 대한 우리 군의 단호한 대응 의지를 천명하고, 확실한 응징·보복만이 북한 도발을 억제할 수 있는 가장 강력한 수단임을 재강조할 예정이라고 대통령실은 밝혔다. 대통령실은 “윤 대통령은 우리 군의 무인기‧미사일 등 비대칭 전력 개발 현황을 점검하고, 북한의 비대칭 위협에 대한 실효적 전력 증강 추진 필요성을 강조할 계획”이라고 했다. 윤 대통령은 군 주요 지휘관에게 확고한 정신적 대비태세를 갖추고 실전적 훈련에 힘쓰라고 주문할 예정이다. 윤 대통령은 북한 무인기 영공 침범과 관련한 군 지휘부의 보고를 받고 “군 기강이 해이해져 있다”고 질책한 것으로 알려졌다.윤 대통령은 ADD에서 무기 체계 개발 현황을 보고받고 무인기·미사일 연구동을 둘러본 뒤 연구원들과 오찬을 할 예정이다. 윤 대통령의 ADD 방문에는 이종섭 국방부 장관과 육·해·공군 참모총장, 해병대사령관, 방위사업청장, 국가안보실장, 안보실 2차장, 국방비서관 등이 수행한다.

",조선일보
